Customer_ID,Recency,Frequency,Monetary,F_Score,M_Score,R_Score,RFM_Segment,Segment_Name
12346,528,2,169.36,1,1,1,111,Lost
12347,1,8,4921.53,3,5,5,535,Champions
12348,74,5,1658.3999999999999,3,4,3,334,Regular
12349,18,3,3678.69,2,5,5,525,New
12350,309,1,294.4,1,2,2,212,Lost
12351,374,1,300.93,1,2,2,212,Lost
12352,35,9,1729.54,4,4,4,444,Champions
12353,203,2,406.76,1,2,2,212,Lost
12354,231,1,1079.4,1,3,2,213,Regular
12355,213,2,947.61,1,3,2,213,Regular
12356,22,6,5611.73,3,5,4,435,Champions
12357,32,2,17437.66,1,5,4,415,New
12358,1,5,3447.07,3,5,5,535,Champions
12359,57,10,8873.39,4,5,4,445,Champions
12360,51,6,3612.89,3,5,4,435,Champions
12361,286,4,451.25,2,2,2,222,Lost
12362,2,10,4737.23,4,5,5,545,Champions
12363,109,2,552.0,1,2,3,312,Regular
12364,7,4,1208.1,2,4,5,524,New
12365,290,1,320.69,1,2,2,212,Lost
12366,633,1,500.24,1,2,1,112,Lost
12367,3,1,150.9,1,1,5,511,New
12368,627,1,917.6999999999999,1,3,1,113,Regular
12369,412,3,1511.15,2,4,1,124,Regular
12370,50,7,3956.56,3,5,4,435,Champions
12371,59,4,3347.38,2,5,3,325,Regular
12372,71,3,1196.04,2,3,3,323,Regular
12373,310,3,927.6500000000001,2,3,2,223,Regular
12374,24,3,2669.22,2,4,4,424,New
12375,10,2,377.5,1,2,5,512,New
12376,389,2,383.15,1,2,2,212,Lost
12377,314,4,3266.32,2,5,2,225,Regular
12378,129,2,5416.32,1,5,3,315,Regular
12379,81,4,1470.22,2,4,3,324,Regular
12380,21,8,7210.65,3,5,4,435,Champions
12381,4,3,1474.81,2,4,5,524,New
12383,184,5,1628.56,3,4,3,334,Regular
12384,28,2,425.27000000000004,1,2,4,412,New
12385,378,1,1668.4,1,4,2,214,Regular
12386,337,2,401.9,1,2,2,212,Lost
12387,414,1,143.94,1,1,1,111,Lost
12388,15,8,3901.11,3,5,5,535,Champions
12389,402,3,1433.33,2,4,2,224,Regular
12390,79,1,504.84000000000003,1,2,3,312,Regular
12391,21,6,2724.84,3,4,4,434,Champions
12392,590,1,234.75000000000003,1,1,1,111,Lost
12393,71,6,2399.4500000000003,3,4,3,334,Regular
12394,63,2,1080.48,1,3,3,313,Regular
12395,18,15,4241.17,4,5,5,545,Champions
12396,673,1,931.43,1,3,1,113,Regular
12397,35,2,2214.9,1,4,4,414,New
12398,45,1,1435.66,1,4,4,414,New
12399,118,7,1842.3,3,4,3,334,Regular
12400,413,1,205.25,1,1,1,111,Lost
12401,302,1,69.3,1,1,2,211,Lost
12402,322,6,1136.9,3,3,2,233,At Risk
12403,49,2,947.36,1,3,4,413,New
12405,148,1,1390.39,1,4,3,314,Regular
12406,21,5,6390.36,3,5,4,435,Champions
12407,49,5,1507.1200000000001,3,4,4,434,Champions
12408,32,8,3905.77,3,5,4,435,Champions
12409,78,7,23419.29,3,5,3,335,Regular
12410,308,3,773.71,2,3,2,223,Regular
12411,409,1,346.9,1,2,1,112,Lost
12412,74,6,2404.93,3,4,3,334,Regular
12413,66,4,871.45,2,3,3,323,Regular
12414,216,4,532.41,2,2,2,222,Lost
12415,23,24,144033.37,4,5,4,445,Champions
12416,656,1,202.56,1,1,1,111,Lost
12417,2,20,5998.41,4,5,5,545,Champions
12418,112,4,2021.2,2,4,3,324,Regular
12419,385,2,391.01,1,2,2,212,Lost
12420,63,1,600.39,1,2,3,312,Regular
12421,15,6,874.6,3,3,5,533,Regular
12422,95,12,3639.35,4,5,3,345,Regular
12423,0,10,2301.39,4,4,5,544,Champions
12424,162,4,3340.03,2,5,3,325,Regular
12425,77,2,1741.41,1,4,3,314,Regular
12426,194,2,1201.21,1,3,2,213,Regular
12427,21,3,699.8,2,3,4,423,New
12428,25,8,6405.26,3,5,4,435,Champions
12429,8,8,5842.41,3,5,5,535,Champions
12430,42,1,216.4,1,1,4,411,New
12431,35,25,10102.22,4,5,4,445,Champions
12432,42,4,4359.32,2,5,4,425,New
12433,0,10,16794.14,4,5,5,545,Champions
12434,84,3,1103.43,2,3,3,323,Regular
12435,79,6,13925.93,3,5,3,335,Regular
12436,99,1,429.01000000000005,1,2,3,312,Regular
12437,1,38,11282.4,4,5,5,545,Champions
12438,13,2,2466.85,1,4,5,514,New
12439,682,2,1142.88,1,3,1,113,Regular
12440,461,2,739.2,1,3,1,113,Regular
12441,366,1,155.55,1,1,2,211,Lost
12442,2,1,144.06,1,1,5,511,New
12443,731,1,365.31,1,2,1,112,Lost
12444,20,5,4085.46,3,5,4,435,Champions
12445,21,2,378.98,1,2,4,412,New
12446,57,1,1002.3100000000001,1,3,4,413,New
12447,242,1,431.49,1,2,2,212,Lost
12448,43,1,365.45,1,2,4,412,New
12449,21,5,4274.89,3,5,4,435,Champions
12450,155,5,688.2,3,3,3,333,Regular
12451,10,8,12629.88,3,5,5,535,Champions
12452,16,1,348.57,1,2,5,512,New
12453,133,1,707.09,1,3,3,313,Regular
12454,55,4,16459.78,2,5,4,425,New
12455,72,9,5722.95,4,5,3,345,Regular
12456,43,3,2581.04,2,4,4,424,New
12457,65,7,2555.91,3,4,3,334,Regular
12458,70,4,1502.49,2,4,3,324,Regular
12459,604,1,398.36,1,2,1,112,Lost
12460,455,1,296.65,1,2,1,112,Lost
12461,154,1,626.88,1,3,3,313,Regular
12462,18,2,937.59,1,3,5,513,New
12463,52,4,1200.78,2,3,4,423,New
12464,9,8,957.05,3,3,5,533,Regular
12465,16,2,682.1899999999999,1,3,5,513,New
12467,422,1,132.8,1,1,1,111,Lost
12468,187,5,3238.74,3,5,2,235,At Risk
12469,522,2,3070.54,1,5,1,115,Regular
12470,689,1,211.95,1,1,1,111,Lost
12471,1,71,35099.9,4,5,5,545,Champions
12472,31,19,14971.289999999999,4,5,4,445,Champions
12473,53,3,2585.73,2,4,4,424,New
12474,16,29,11310.75,4,5,5,545,Champions
12475,53,2,1065.64,1,3,4,413,New
12476,15,18,12319.91,4,5,5,545,Champions
12477,22,9,20276.37,4,5,4,445,Champions
12478,3,1,545.99,1,2,5,512,New
12479,10,1,473.2,1,2,5,512,New
12480,27,7,4834.85,3,5,4,435,Champions
12481,22,14,11033.51,4,5,4,445,Champions
12482,575,27,21941.72,4,5,1,145,At Risk
12483,16,19,4069.1800000000003,4,5,5,545,Champions
12484,34,9,5557.1,4,5,4,445,Champions
12485,528,1,708.1,1,3,1,113,Regular
12486,431,1,917.28,1,3,1,113,Regular
12487,730,1,285.29999999999995,1,2,1,112,Lost
12488,9,3,1244.66,2,4,5,524,New
12489,335,1,298.93,1,2,2,212,Lost
12490,4,20,8764.64,4,5,5,545,Champions
12491,38,1,424.40000000000003,1,2,4,412,New
12492,62,3,607.21,2,3,3,323,Regular
12493,165,2,379.74,1,2,3,312,Regular
12494,15,9,1563.27,4,4,5,544,Champions
12495,640,1,277.4,1,1,1,111,Lost
12496,619,2,45.34,1,1,1,111,Lost
12497,81,3,5996.5,2,5,3,325,Regular
12498,20,3,349.70000000000005,2,2,4,422,New
12499,559,1,357.72,1,2,1,112,Lost
12500,22,18,5559.21,4,5,4,445,Champions
12501,336,1,2025.39,1,4,2,214,Regular
12502,95,5,2995.87,3,5,3,335,Regular
12503,583,1,896.0,1,3,1,113,Regular
12504,17,4,689.05,2,3,5,523,New
12505,408,1,787.2,1,3,2,213,Regular
12506,232,1,73.5,1,1,2,211,Lost
12507,133,4,1508.06,2,4,3,324,Regular
12508,25,2,397.88,1,2,4,412,New
12509,283,1,158.5,1,1,2,211,Lost
12510,142,7,3039.03,3,5,3,335,Regular
12511,428,1,3084.02,1,5,1,115,Regular
12512,65,2,132.18,1,1,3,311,Regular
12513,112,1,558.29,1,2,3,312,Regular
12514,266,2,1597.76,1,4,2,214,Regular
12515,352,1,278.7,1,1,2,211,Lost
12516,77,4,2288.62,2,4,3,324,Regular
12517,27,4,2301.6,2,4,4,424,New
12518,0,5,1840.89,3,4,5,534,Champions
12519,63,2,626.54,1,3,3,313,Regular
12520,78,5,2346.2599999999998,3,4,3,334,Regular
12521,142,1,545.68,1,2,3,312,Regular
12522,38,2,156.72,1,1,4,411,New
12523,18,23,4010.35,4,5,5,545,Champions
12524,8,17,9794.11,4,5,5,545,Champions
12525,497,3,883.73,2,3,1,123,Regular
12526,0,3,1172.66,2,3,5,523,New
12527,81,5,717.51,3,3,3,333,Regular
12528,8,6,1645.48,3,4,5,534,Champions
12529,527,1,316.48,1,2,1,112,Lost
12530,59,9,3381.26,4,5,3,345,Regular
12531,14,2,1771.2,1,4,5,514,New
12532,29,1,313.83000000000004,1,2,4,412,New
12533,627,2,1223.89,1,4,1,114,Regular
12534,130,1,981.18,1,3,3,313,Regular
12535,91,2,716.35,1,3,3,313,Regular
12536,58,1,4279.71,1,5,4,415,New
12537,408,1,612.94,1,3,2,213,Regular
12538,28,2,640.45,1,3,4,413,New
12539,21,7,11186.75,3,5,4,435,Champions
12540,19,32,19250.49,4,5,4,445,Champions
12541,29,3,841.18,2,3,4,423,New
12542,483,2,481.88,1,2,1,112,Lost
12543,447,1,840.25,1,3,1,113,Regular
12544,35,1,316.7,1,2,4,412,New
12545,74,2,832.39,1,3,3,313,Regular
12546,46,2,1021.5,1,3,4,413,New
12547,197,3,299.58,2,2,2,222,Lost
12548,165,1,67.19999999999999,1,1,3,311,Regular
12549,575,5,1570.68,3,4,1,134,At Risk
12550,78,1,824.83,1,3,3,313,Regular
12551,357,1,168.0,1,1,2,211,Lost
12552,39,1,317.82,1,2,4,412,New
12553,7,12,4104.75,4,5,5,545,Champions
12554,448,1,384.5,1,2,1,112,Lost
12556,49,2,599.56,1,2,4,412,New
12557,15,8,18096.14,3,5,5,535,Champions
12558,7,1,269.96,1,1,5,511,New
12559,310,2,525.71,1,2,2,212,Lost
12560,4,2,1918.01,1,4,5,514,New
12561,302,1,238.85,1,1,2,211,Lost
12562,7,9,4426.92,4,5,5,545,Champions
12563,408,1,221.24,1,1,2,211,Lost
12564,260,1,402.9,1,2,2,212,Lost
12565,288,1,145.92,1,1,2,211,Lost
12566,85,1,297.65,1,2,3,312,Regular
12567,22,15,10741.48,4,5,4,445,Champions
12568,644,1,52.0,1,1,1,111,Lost
12569,1,32,3152.69,4,5,5,545,Champions
12571,39,2,519.61,1,2,4,412,New
12572,8,2,912.42,1,3,5,513,New
12573,226,5,717.41,3,3,2,233,At Risk
12574,315,1,182.45000000000002,1,1,2,211,Lost
12575,456,2,568.8199999999999,1,2,1,112,Lost
12576,35,8,2062.72,3,4,4,434,Champions
12577,34,8,1613.15,3,4,4,434,Champions
12578,20,4,4026.4500000000003,2,5,4,425,New
12579,77,1,386.42,1,2,3,312,Regular
12580,246,2,962.9,1,3,2,213,Regular
12581,39,1,179.71,1,1,4,411,New
12582,238,4,1820.4,2,4,2,224,Regular
12583,2,27,12493.58,4,5,5,545,Champions
12584,3,9,2254.15,4,4,5,544,Champions
12585,233,2,1824.1,1,4,2,214,Regular
12586,16,4,2062.67,2,4,5,524,New
12587,7,1,104.0,1,1,5,511,New
12588,38,3,718.78,2,3,4,423,New
12589,28,6,3294.91,3,5,4,435,Champions
12590,210,1,9341.26,1,5,2,215,Regular
12591,316,3,1114.95,2,3,2,223,Regular
12592,91,4,1723.6399999999999,2,4,3,324,Regular
12593,108,3,382.09999999999997,2,2,3,322,Regular
12594,37,14,4890.110000000001,4,5,4,445,Champions
12595,504,1,281.02,1,1,1,111,Lost
12596,50,2,450.27,1,2,4,412,New
12597,18,4,3195.22,2,5,5,525,New
12598,9,10,4192.09,4,5,5,545,Champions
12599,28,13,2026.72,4,4,4,444,Champions
12600,28,20,4385.85,4,5,4,445,Champions
12601,189,6,573.26,3,2,2,232,Regular
12602,58,1,153.12,1,1,4,411,New
12603,21,1,613.1999999999999,1,3,4,413,New
12604,78,2,236.18,1,1,3,311,Regular
12605,375,3,1124.95,2,3,2,223,Regular
12607,59,1,1579.51,1,4,3,314,Regular
12608,404,1,415.79,1,2,2,212,Lost
12609,77,9,3021.86,4,5,3,345,Regular
12610,22,4,1747.54,2,4,4,424,New
12611,51,1,1193.32,1,3,4,413,New
12612,73,1,668.0400000000001,1,3,3,313,Regular
12613,56,9,6277.37,4,5,4,445,Champions
12614,277,1,315.6,1,2,2,212,Lost
12615,1,8,5362.98,3,5,5,535,Champions
12616,94,3,1023.1,2,3,3,323,Regular
12617,28,1,352.98,1,2,4,412,New
12618,21,1,137.31,1,1,4,411,New
12619,15,9,3085.7,4,5,5,545,Champions
12620,14,3,1303.41,2,4,5,524,New
12621,1,35,22097.2,4,5,5,545,Champions
12622,231,1,162.1,1,1,2,211,Lost
12623,275,7,3315.84,3,5,2,235,At Risk
12624,105,2,569.13,1,2,3,312,Regular
12625,211,4,4678.88,2,5,2,225,Regular
12626,22,9,5954.48,4,5,4,445,Champions
12627,10,6,4082.53,3,5,5,535,Champions
12628,3,3,732.46,2,3,5,523,New
12629,385,2,1198.22,1,3,2,213,Regular
12630,9,2,1030.88,1,3,5,513,New
12631,56,6,3321.57,3,5,4,435,Champions
12632,520,2,714.88,1,3,1,113,Regular
12633,58,7,5156.16,3,5,4,435,Champions
12634,547,1,360.0,1,2,1,112,Lost
12635,89,4,2624.41,2,4,3,324,Regular
12637,66,12,8085.8099999999995,4,5,3,345,Regular
12638,32,2,681.49,1,3,4,413,New
12639,238,3,1072.37,2,3,2,223,Regular
12640,23,3,994.58,2,3,4,423,New
12641,114,1,145.9,1,1,3,311,Regular
12642,24,3,905.26,2,3,4,423,New
12643,127,11,7803.82,4,5,3,345,Regular
12644,129,4,1900.49,2,4,3,324,Regular
12645,33,8,3215.3,3,5,4,435,Champions
12646,4,2,1346.97,1,4,5,514,New
12647,21,35,14109.55,4,5,4,445,Champions
12648,154,4,1039.0,2,3,3,323,Regular
12649,106,8,2096.65,3,4,3,334,Regular
12650,2,1,242.44000000000003,1,1,5,511,New
12651,334,4,377.75,2,2,2,222,Lost
12652,330,2,891.03,1,3,2,213,Regular
12653,148,3,4160.83,2,5,3,325,Regular
12654,10,5,529.98,3,2,5,532,Regular
12655,423,1,243.35000000000002,1,1,1,111,Lost
12656,16,8,5723.83,3,5,5,535,Champions
12657,10,4,1427.18,2,4,5,524,New
12658,18,1,632.05,1,3,5,513,New
12659,29,1,73.68,1,1,4,411,New
12660,10,1,227.1,1,1,5,511,New
12661,435,1,162.0,1,1,1,111,Lost
12662,0,20,6130.54,4,5,5,545,Champions
12663,624,2,185.4,1,1,1,111,Lost
12664,7,11,5420.04,4,5,5,545,Champions
12665,324,3,259.6,2,1,2,221,Lost
12666,393,1,1248.42,1,4,2,214,Regular
12667,57,1,460.13,1,2,4,412,New
12668,11,9,9906.03,4,5,5,545,Champions
12669,150,2,1427.73,1,4,3,314,Regular
12670,9,7,3436.29,3,5,5,535,Champions
12671,605,1,2622.48,1,4,1,114,Regular
12672,329,2,407.05,1,2,2,212,Lost
12673,4,3,1140.02,2,3,5,523,New
12674,38,4,1844.6,2,4,4,424,New
12675,553,2,873.25,1,3,1,113,Regular
12676,24,10,2333.09,4,4,4,444,Champions
12677,554,2,359.1,1,2,1,112,Lost
12678,41,15,32595.18,4,5,4,445,Champions
12679,58,4,951.02,2,3,4,423,New
12680,0,4,790.81,2,3,5,523,New
12681,14,44,26936.76,4,5,5,545,Champions
12682,3,51,20736.22,4,5,5,545,Champions
12683,3,20,10445.7,4,5,5,545,Champions
12684,7,6,2073.63,3,4,5,534,Champions
12685,27,6,2575.08,3,4,4,434,Champions
12686,371,1,71.14,1,1,2,211,Lost
12687,480,1,1858.91,1,4,1,114,Regular
12688,113,1,4873.8099999999995,1,5,3,315,Regular
12689,25,2,1139.61,1,3,4,413,New
12690,205,1,335.01,1,2,2,212,Lost
12691,27,6,1044.4,3,3,4,433,Regular
12692,636,1,110.95,1,1,1,111,Lost
12693,126,7,1415.02,3,4,3,334,Regular
12694,69,3,1663.35,2,4,3,324,Regular
12695,6,7,1371.1200000000001,3,4,5,534,Champions
12696,434,2,731.91,1,3,1,113,Regular
12697,28,3,757.59,2,3,4,423,New
12698,589,1,285.75,1,2,1,112,Lost
12699,417,1,566.11,1,2,1,112,Lost
12700,7,4,4525.99,2,5,5,525,New
12701,79,6,2248.41,3,4,3,334,Regular
12702,19,1,201.0,1,1,4,411,New
12703,70,4,898.53,2,3,3,323,Regular
12704,6,8,1740.84,3,4,5,534,Champions
12705,14,13,11114.1,4,5,5,545,Champions
12707,291,1,603.42,1,3,2,213,Regular
12708,29,18,4559.66,4,5,4,445,Champions
12709,14,32,29487.18,4,5,5,545,Champions
12710,96,3,1023.02,2,3,3,323,Regular
12711,611,2,1213.05,1,4,1,114,Regular
12712,28,21,5985.03,4,5,4,445,Champions
12713,0,1,794.55,1,3,5,513,New
12714,8,12,12815.710000000001,4,5,5,545,Champions
12715,105,1,263.36,1,1,3,311,Regular
12716,3,2,963.49,1,3,5,513,New
12717,150,3,1058.91,2,3,3,323,Regular
12718,70,1,202.25,1,1,3,311,Regular
12719,4,2,572.95,1,2,5,512,New
12720,2,29,6905.28,4,5,5,545,Champions
12721,31,8,3635.08,3,5,4,435,Champions
12722,84,4,979.63,2,3,3,323,Regular
12723,3,5,707.07,3,3,5,533,Regular
12724,4,7,2083.52,3,4,5,534,Champions
12725,370,3,1906.76,2,4,2,224,Regular
12726,27,11,3690.6,4,5,4,445,Champions
12727,10,10,4905.53,4,5,5,545,Champions
12728,70,5,926.17,3,3,3,333,Regular
12729,113,1,417.01,1,2,3,312,Regular
12730,521,1,703.25,1,3,1,113,Regular
12731,23,17,25631.71,4,5,4,445,Champions
12732,179,1,218.26000000000002,1,1,3,311,Regular
12733,233,4,2424.02,2,4,2,224,Regular
12734,352,3,603.65,2,3,2,223,Regular
12735,314,2,689.5699999999999,1,3,2,213,Regular
12736,332,1,144.0,1,1,2,211,Lost
12738,371,1,137.35,1,1,2,211,Lost
12739,98,2,2421.23,1,4,3,314,Regular
12740,63,1,427.6,1,2,3,312,Regular
12741,532,1,236.07,1,1,1,111,Lost
12742,625,1,1201.52,1,4,1,114,Regular
12743,133,2,540.13,1,2,3,312,Regular
12744,55,8,13158.16,3,5,4,435,Champions
12745,486,2,723.85,1,3,1,113,Regular
12746,540,1,254.55,1,1,1,111,Lost
12747,1,26,8898.48,4,5,5,545,Champions
12748,0,322,49176.74,4,5,5,545,Champions
12749,3,9,6847.36,4,5,5,545,Champions
12750,128,1,275.88,1,1,3,311,Regular
12751,444,1,268.27,1,1,1,111,Lost
12752,80,1,4366.78,1,5,3,315,Regular
12753,22,6,21429.39,3,5,4,435,Champions
12754,235,3,3010.74,2,5,2,225,Regular
12755,280,11,5236.259999999999,4,5,2,245,At Risk
12756,86,1,112.07999999999998,1,1,3,311,Regular
12757,15,9,4176.75,4,5,5,545,Champions
